iter	MultiClass
0	1.046109739
1	1.005817208
2	0.9744173267
3	0.9333611288
4	0.9103673515
5	0.8785516034
6	0.8517445417
7	0.8298206867
8	0.8122722053
9	0.7959744805
10	0.7828567232
11	0.7701599374
12	0.7595485601
13	0.7467366295
14	0.7343612991
15	0.7275654016
16	0.7191356647
17	0.7117239024
18	0.7048464106
19	0.6986361397
20	0.6940901446
21	0.6898581973
22	0.6853346537
23	0.6821858876
24	0.6793315887
25	0.6764013037
26	0.6741844187
27	0.6723308238
28	0.6698367673
29	0.6676025689
30	0.6657070248
31	0.664464769
32	0.6631325183
33	0.6609577512
34	0.6596668117
35	0.6585289367
36	0.657807487
37	0.6570466822
38	0.6558390031
39	0.6552989489
40	0.6546753697
41	0.6534123191
42	0.6526885916
43	0.6522324927
44	0.6513636538
45	0.6506782696
46	0.6501381376
47	0.6488727952
48	0.6479721993
49	0.6470107055
50	0.6464859961
51	0.6461284737
52	0.6459657376
53	0.6457337247
54	0.6454084555
55	0.6451386192
56	0.6443483572
57	0.6440832657
58	0.6432623205
59	0.6429705279
60	0.6422699649
61	0.6420271278
62	0.641809118
63	0.6415653757
64	0.6412108329
65	0.640961411
66	0.6404481192
67	0.6401094555
68	0.6399298822
69	0.639723465
70	0.6389518534
71	0.6386435172
72	0.638524993
73	0.6384139208
74	0.6379773838
75	0.6379062331
76	0.6377643118
77	0.6375297306
78	0.6372405023
79	0.6369443062
80	0.6368114576
81	0.6366122968
82	0.6361740994
83	0.6357922677
84	0.6356984044
85	0.6356602129
86	0.6353124878
87	0.635026083
88	0.6346683699
89	0.6346371475
90	0.6344674289
91	0.6342718797
92	0.6341188588
93	0.6339599887
94	0.633753077
95	0.6337114237
96	0.6335650629
97	0.6334740634
98	0.6333334436
99	0.6329614297
100	0.632849643
101	0.6328123274
102	0.6327136251
103	0.6324322173
104	0.6323276077
105	0.6322421391
106	0.6320642425
107	0.6319957929
108	0.6318030723
109	0.6316857973
110	0.6315830214
111	0.6313065484
112	0.6310166137
113	0.6307895233
114	0.6306806576
115	0.6304904161
116	0.630324474
117	0.630125701
