iter	Passed	Remaining
0	31	31597
1	64	32089
2	96	32048
3	135	33646
4	193	38426
5	227	37615
6	266	37823
7	304	37747
8	345	38009
9	381	37720
10	417	37572
11	448	36935
12	480	36455
13	518	36533
14	554	36412
15	587	36107
16	617	35717
17	645	35206
18	675	34892
19	710	34814
20	742	34607
21	769	34207
22	804	34153
23	837	34054
24	863	33690
25	897	33608
26	927	33425
27	959	33295
28	998	33431
29	1034	33440
30	1066	33346
31	1103	33395
32	1146	33592
33	1193	33903
34	1229	33910
35	1269	33988
36	1308	34059
37	1349	34154
38	1394	34357
39	1433	34406
40	1484	34718
41	1536	35048
42	1579	35147
43	1618	35160
44	1653	35097
45	1689	35038
46	1734	35164
47	1766	35043
48	1800	34943
49	1829	34758
50	1868	34760
51	1903	34699
52	1940	34665
53	1979	34680
54	2012	34570
55	2050	34561
56	2086	34513
57	2119	34420
58	2153	34338
59	2190	34322
60	2226	34276
61	2267	34309
62	2308	34332
63	2348	34344
64	2387	34342
65	2419	34233
66	2458	34229
67	2496	34214
68	2537	34242
69	2571	34168
70	2617	34245
71	2657	34246
72	2692	34187
73	2732	34192
74	2766	34122
75	2844	34578
76	2876	34485
77	2908	34380
78	2957	34482
79	2995	34446
80	3036	34450
81	3079	34470
82	3118	34448
83	3161	34471
84	3209	34547
85	3258	34634
86	3310	34740
87	3350	34724
88	3396	34764
89	3439	34778
90	3493	34901
91	3533	34876
92	3582	34939
93	3627	34966
94	3656	34832
95	3695	34801
96	3733	34757
97	3775	34754
98	3814	34714
99	3848	34639
100	3879	34535
101	3915	34469
102	3955	34450
103	3998	34447
104	4038	34424
105	4079	34407
106	4119	34382
107	4159	34352
108	4193	34282
109	4232	34246
110	4272	34217
111	4303	34119
112	4344	34103
113	4386	34090
114	4428	34079
115	4468	34052
116	4500	33961
117	4541	33946
118	4578	33896
119	4614	33837
120	4656	33828
121	4693	33774
122	4729	33721
123	4772	33714
124	4805	33636
125	4841	33583
126	4879	33545
127	4918	33510
128	4955	33460
129	4992	33414
130	5026	33345
131	5065	33310
132	5105	33282
133	5149	33277
134	5192	33273
135	5234	33256
136	5272	33216
137	5314	33195
138	5354	33164
139	5392	33124
140	5429	33075
141	5468	33039
142	5507	33008
143	5548	32980
144	5583	32924
145	5624	32899
146	5664	32868
147	5705	32847
148	5748	32830
149	5787	32794
150	5825	32756
151	5870	32750
152	5910	32721
153	5948	32679
154	5991	32662
155	6027	32612
156	6069	32591
157	6108	32552
158	6151	32539
159	6190	32498
160	6223	32432
161	6268	32426
162	6309	32397
163	6349	32368
164	6388	32331
165	6431	32312
166	6475	32299
167	6513	32255
168	6549	32204
169	6587	32163
170	6627	32131
171	6667	32096
172	6705	32055
173	6742	32005
174	6781	31969
175	6818	31921
176	6856	31878
177	6892	31829
178	6929	31782
179	6967	31742
180	7003	31689
181	7044	31663
182	7078	31603
183	7116	31561
184	7152	31509
185	7184	31442
186	7222	31398
187	7260	31358
188	7297	31312
189	7339	31287
190	7376	31244
191	7415	31208
192	7458	31187
193	7494	31136
194	7527	31074
195	7562	31020
196	7597	30969
197	7634	30924
198	7668	30866
199	7702	30809
200	7744	30785
201	7778	30728
202	7815	30686
203	7853	30644
204	7890	30600
205	7927	30553
206	7967	30522
207	8001	30465
208	8042	30438
209	8080	30397
210	8123	30377
211	8163	30344
212	8209	30332
213	8241	30271
214	8278	30225
215	8318	30192
216	8359	30163
217	8399	30131
218	8441	30104
219	8481	30071
220	8524	30046
221	8567	30026
222	8607	29992
223	8644	29947
224	8686	29921
225	8725	29884
226	8766	29853
227	8807	29820
228	8845	29779
229	8883	29741
230	8923	29707
231	8963	29672
232	9004	29642
233	9042	29602
234	9083	29571
235	9120	29526
236	9162	29497
237	9197	29446
238	9236	29409
239	9271	29359
240	9307	29313
241	9347	29277
242	9389	29249
243	9429	29217
244	9466	29171
245	9508	29144
246	9543	29094
247	9584	29062
248	9619	29013
249	9660	28981
250	9698	28940
251	9736	28899
252	9776	28865
253	9818	28835
254	9860	28807
255	9897	28763
256	9929	28707
257	9965	28660
258	10006	28627
259	10047	28595
260	10082	28546
261	10117	28499
262	10151	28446
263	10189	28406
264	10231	28377
265	10277	28359
266	10322	28338
267	10360	28297
268	10402	28267
269	10438	28222
